a1,,,,,,,,,,,,,,,,,,,,,,,,
a2,,,,,,,,,,,,,,,,,,,,,,,,
a3,,,,,,,,,,,,,,,,,,,,,,,,
a4,,,,,,,,,,,,,,,,,,,,,,,,
b1,,,,,,,,,,,,,,,,,,,,,,,,
b2,,,,,,,,,,,,,,,,,,,,,,,,
b3,,,,,,,,,,,,,,,,,,,,,,,,
b4,,,,,,,,,,,,,,,,,,,,,,,,
c1,,,,,,,,,,,,,,,,,,,,,,,,
c2,,,,,,,,,,,,,,,,,,,,,,,,
c3,,,,,,,,,,,,,,,,,,,,,,,,
c4,,,,,,,,,,,,,,,,,,,,,,,,
d1,,,,,,,,,,,,,,,,,,,,,,,,
d2,,,,,,,,,,,,,,,,,,,,,,,,
d3,,,,,,,,,,,,,,,,,,,,,,,,
d4,,,,,,,,,,,,,,,,,,,,,,,,
e1,,,,,,,,,,,,,,,,,,,,,,,,
e2,4,4,4,4,4,3,4,2,3,3,3,5,4,4,4,4,4,3,2,2,2,4,2,3
e3,,,,,,,,,,,,,,,,,,,,,,,,
e4,,,,,,,,,,,,,,,,,,,,,,,,
f1,,,,,,,,,,,,,,,,,,,,,,,,
f2,,,,,,,,,,,,,,,,,,,,,,,,
f3,4,3,4,4,5,3,4,3,4,4,5,5,5,5,5,5,4,3,3,4,4,5,4,4
f4,5,5,5,5,4,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4,5,4,4
g1,,,,,,,,,,,,,,,,,,,,,,,,
g2,,,,,,,,,,,,,,,,,,,,,,,,
g3,,,,,,,,,,,,,,,,,,,,,,,,
g4,,,,,,,,,,,,,,,,,,,,,,,,
h1,4,2,2,2,2,2,4,2,2,4,4,5,5,5,5,5,4,4,4,2,3,5,1,1
h2,2,2,3,3,3,2,2,2,3,3,3,4,4,4,3,4,3,4,3,3,4,3,4,3
h3,3,2,3,1,2,3,4,3,2,4,4,3,5,4,4,5,3,3,4,2,4,4,3,4
h4,2,2,4,4,3,3,4,3,4,4,4,4,4,4,5,5,4,4,2,3,4,4,2,3
i1,4,2,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,2,2
i2,4,3,4,5,4,4,4,3,4,3,5,4,5,4,5,4,5,4,4,2,3,4,2,2
i3,3,2,4,3,3,4,3,2,2,4,3,4,3,3,4,4,3,3,4,3,3,4,2,4
i4,2,2,1,2,3,3,4,2,2,2,1,4,2,2,4,4,3,4,3,4,2,4,1,2
j1,2,1,3,2,1,2,3,3,2,3,2,4,3,4,3,4,2,3,3,3,3,4,2,2
j2,2,3,3,3,2,2,3,3,3,2,3,3,4,3,3,3,4,3,3,3,3,4,3,3
j3,3,4,3,2,3,4,3,2,2,3,3,5,5,5,5,5,4,3,2,3,2,4,2,2
j4,3,1,1,2,2,3,4,2,2,2,2,4,4,4,4,4,4,3,2,3,3,4,3,2
