a1,4,2,6,6,3
a2,7,1,7,6,1
a3,6,1,7,4,5
a4,7,1,4,4,5
b1,5,3,4,3,5
b2,5,4,4,7,5
b3,4,2,5,5,7
b4,1,1,2,1,1
c1,5,1,5,5,2
c2,6,2,6,5,1
c3,6,1,6,6,2
c4,7,1,7,6,3
d1,4,4,5,5,4
d2,6,4,7,3,4
d3,7,1,7,7,6
d4,7,1,5,5,1
e1,7,1,6,5,5
e2,7,2,6,6,5
e3,7,1,7,7,4
e4,5,3,5,3,1
f1,7,7,7,7,7
f2,4,5,2,5,7
f3,7,3,5,6,6
f4,7,2,7,3,7
g1,2,2,2,3,6
g2,6,1,3,5,6
g3,6,2,6,6,6
g4,7,1,7,7,4
h1,7,1,7,7,7
h2,3,1,5,3,4
h3,6,3,6,5,4
h4,5,2,6,5,1
i1,6,2,6,4,4
i2,2,1,1,4,1
i3,6,3,5,5,3
i4,5,2,6,6,7
j1,6,5,4,3,3
j2,4,5,4,5,3
j3,7,1,4,5,4
j4,6,3,6,6,6
